dept,treatment,success,age_group,income
B_easy,0,1,middle,41091.08971800214
A_hard,1,0,young,50880.399165898685
B_easy,0,1,middle,61715.23664730894
A_hard,1,0,young,50656.98726466541
A_hard,1,0,young,52073.77211768831
B_easy,0,1,middle,45994.938233731475
B_easy,0,1,middle,45367.07731477888
B_easy,0,1,old,70723.90701150603
A_hard,1,0,middle,35559.83084153405
A_hard,1,0,old,3747.7726199227764
A_hard,1,0,middle,54731.32946825797
B_easy,0,1,middle,44456.08067896847
A_hard,1,1,young,52007.0381685788
B_easy,0,1,middle,80892.32773975455
A_hard,1,0,young,45251.43685892921
A_hard,1,0,young,59936.48747495296
A_hard,1,0,young,47306.96520804303
A_hard,1,0,old,68811.4399221172
B_easy,0,1,middle,44068.39336864341
A_hard,1,0,old,44876.77529375265
B_easy,0,1,old,70097.42407562201
A_hard,1,0,old,42143.82364484932
B_easy,0,1,young,77283.28494979005
B_easy,0,0,old,53519.40690733829
B_easy,0,1,old,91040.56727443333
A_hard,1,1,old,76832.96256408367
A_hard,1,0,young,49231.079943409495
A_hard,1,0,young,53289.01770531925
A_hard,1,0,old,62875.07153436956
A_hard,1,1,young,27192.0390154895
B_easy,0,1,young,40319.99978133314
B_easy,0,1,middle,78846.28370786452
A_hard,1,0,young,49109.82709309499
A_hard,1,0,young,41602.42131030316
A_hard,1,0,old,45166.84954321742
A_hard,1,0,old,9209.377914538964
A_hard,1,0,old,42141.565283144984
A_hard,1,1,young,33704.29891210164
A_hard,1,0,young,58771.074504226235
A_hard,1,1,middle,59925.46167576009
A_hard,1,0,middle,53650.20351194865
B_easy,0,1,young,65931.87973198712
B_easy,0,1,middle,37539.798769195986
A_hard,1,1,old,53859.64619995312
B_easy,0,1,middle,69440.96918285076
B_easy,0,1,young,78677.88980653095
A_hard,1,0,young,76773.14718645296
A_hard,1,0,young,19611.58989642587
A_hard,1,0,young,39172.8476157268
A_hard,1,0,middle,33866.000442635326
A_hard,0,1,middle,47587.60782577611
A_hard,1,0,middle,45201.02787327058
