country,year,GDP
Country_X,1980,979.4226800057883
Country_X,1981,985.9887809607822
Country_X,1982,1027.681140922249
Country_X,1983,1074.4716446493308
Country_X,1984,1082.7724170207225
Country_X,1985,1075.1455774066412
Country_X,1986,1125.5251785575222
Country_X,1987,1152.2091388358851
Country_X,1988,1149.715698342112
Country_X,1989,1193.815206126368
Country_X,1990,1215.7196924565264
Country_X,1991,1215.9872224927465
Country_X,1992,1270.7793082253118
Country_X,1993,1300.1117227660775
Country_X,1994,1336.3349777469928
Country_X,1995,1402.2724959400898
Country_X,1996,1423.531608158159
Country_X,1997,1505.7533954921737
Country_X,1998,1611.9508023869478
Country_X,1999,1692.969310971383
Country_X,2000,1778.1388414320888
Country_X,2001,1934.3451146369844
Country_X,2002,1962.6871935698423
Country_X,2003,2072.714926957404
Country_X,2004,2172.8138322998375
Country_X,2005,2275.7405521858063
Country_X,2006,2370.9006062611634
Country_X,2007,2512.6719987162273
Country_X,2008,2608.409236299513
Country_X,2009,2751.896974929331
Country_1,1980,977.3693053962712
Country_1,1981,1041.539630394186
Country_1,1982,977.8060843900951
Country_1,1983,1049.179619814259
Country_1,1984,1023.9091869031108
Country_1,1985,1067.8481370976535
Country_1,1986,1120.6115218410582
Country_1,1987,1122.0947604816545
Country_1,1988,1121.670447743154
Country_1,1989,1151.7837759825757
Country_1,1990,1203.003602149824
Country_1,1991,1198.5925474802102
Country_1,1992,1241.7930495084836
Country_1,1993,1263.1245920692575
Country_1,1994,1274.4254114244884
Country_1,1995,1356.0854485306434
Country_1,1996,1352.14907852538
Country_1,1997,1325.757260307448
Country_1,1998,1397.3144005768006
Country_1,1999,1408.2212912716725
Country_1,2000,1466.9348276743058
Country_1,2001,1463.0334694292949
Country_1,2002,1506.1668330525697
Country_1,2003,1548.7305386991552
Country_1,2004,1586.7185128653393
Country_1,2005,1576.7855490204604
Country_1,2006,1626.1172819879882
Country_1,2007,1655.9645466156844
Country_1,2008,1685.7061372442076
Country_1,2009,1768.0572611392172
Country_2,1980,995.0314064613469
Country_2,1981,1059.0113062001044
Country_2,1982,1103.9102725444416
Country_2,1983,1103.3457967872957
Country_2,1984,1073.963022088718
Country_2,1985,1116.7527483786291
Country_2,1986,1174.3044014164059
Country_2,1987,1157.7921126889512
Country_2,1988,1204.2608006042778
Country_2,1989,1234.7847813507672
Country_2,1990,1225.1393328562624
Country_2,1991,1267.3609940123447
Country_2,1992,1229.0971843548705
Country_2,1993,1299.3132289526914
Country_2,1994,1341.1456383871014
Country_2,1995,1348.1652778039672
Country_2,1996,1433.231586350762
Country_2,1997,1399.9921999183593
Country_2,1998,1448.366038293184
Country_2,1999,1488.9250781333878
Country_2,2000,1544.8619377007417
Country_2,2001,1517.639958334219
Country_2,2002,1600.547620428063
Country_2,2003,1609.0346935130551
Country_2,2004,1621.3764599175577
Country_2,2005,1683.0688350825524
Country_2,2006,1711.2844948207019
Country_2,2007,1729.4450293842415
Country_2,2008,1777.6743959657663
Country_2,2009,1804.09764941405
Country_3,1980,1018.9184807529833
Country_3,1981,1057.5097209307207
Country_3,1982,1021.5488623234329
Country_3,1983,1109.8919432390949
Country_3,1984,1049.5341452704388
Country_3,1985,1107.3117173853948
Country_3,1986,1144.3207118015202
Country_3,1987,1160.825292379966
Country_3,1988,1165.8555737293589
Country_3,1989,1197.7133104011405
Country_3,1990,1216.053251823275
Country_3,1991,1238.6442407878967
Country_3,1992,1292.4322085857368
Country_3,1993,1308.089279697524
Country_3,1994,1313.1097574725743
Country_3,1995,1371.499305874008
Country_3,1996,1386.723444950182
Country_3,1997,1424.4462460000823
Country_3,1998,1448.9453605342414
Country_3,1999,1448.499939151243
Country_3,2000,1483.1778153531388
Country_3,2001,1539.214936982685
Country_3,2002,1566.9618514864935
Country_3,2003,1585.4315032220977
Country_3,2004,1619.913073469584
Country_3,2005,1675.4711542352452
Country_3,2006,1671.0847856691496
Country_3,2007,1727.5164853381843
Country_3,2008,1746.8621754204014
Country_3,2009,1781.5705249739165
Country_4,1980,1071.44716957912
Country_4,1981,1092.3078121713595
Country_4,1982,1123.6679479834602
Country_4,1983,1119.9296161098366
Country_4,1984,1155.538789488624
Country_4,1985,1158.53238953211
Country_4,1986,1194.5158062070277
Country_4,1987,1209.1902676530503
Country_4,1988,1237.9689106150668
Country_4,1989,1272.6527116502548
Country_4,1990,1269.6001488996774
Country_4,1991,1353.531599329343
Country_4,1992,1317.7971832619523
Country_4,1993,1340.3921092540309
Country_4,1994,1415.1316166099825
Country_4,1995,1435.6420410020396
Country_4,1996,1460.6873592062796
Country_4,1997,1489.735972307827
Country_4,1998,1506.467507908054
Country_4,1999,1518.9016048025753
Country_4,2000,1569.0997172408124
Country_4,2001,1585.3920643682343
Country_4,2002,1650.4163992388012
Country_4,2003,1660.5911370318127
Country_4,2004,1680.2929864192422
Country_4,2005,1724.3112721291345
Country_4,2006,1773.6123978269504
Country_4,2007,1789.3863530601873
Country_4,2008,1820.2296530872636
Country_4,2009,1878.2812864484024
Country_5,1980,1002.1094650480136
Country_5,1981,1023.0725290141784
Country_5,1982,1057.7841597762285
Country_5,1983,1045.244337419711
Country_5,1984,1067.5408692471192
Country_5,1985,1103.2350632042949
Country_5,1986,1135.6870835476934
Country_5,1987,1168.973298425529
Country_5,1988,1215.5173743948314
Country_5,1989,1226.8836475209976
Country_5,1990,1230.7262935588278
Country_5,1991,1258.2232412832045
Country_5,1992,1263.7250494573273
Country_5,1993,1309.0808867652377
Country_5,1994,1329.866999696384
Country_5,1995,1368.8073471310445
Country_5,1996,1373.055416571722
Country_5,1997,1427.7789664364473
Country_5,1998,1476.3946551347078
Country_5,1999,1472.4794714430122
Country_5,2000,1512.1820023423716
Country_5,2001,1548.0336030926226
Country_5,2002,1556.8909282858517
Country_5,2003,1600.6954941142483
Country_5,2004,1628.3897653832366
Country_5,2005,1662.6541976859294
Country_5,2006,1678.4544935521424
